,Country code,Country name,Series code,Series name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
1631,ABW,Aruba,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",1840.834,1928.842,1723.49,1771.161,1763.827,1785.829,1811.498,1851.835,1668.485,1686.82,2233.203,2236.87,2255.205,2255.205,2258.872,2273.54,2273.54,2357.881,2288.208
1632,ADO,Andorra,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",2676.91,2493.56,1426.463,1375.125,1320.12,407.037,425.372,458.375,484.044,513.38,524.381,524.381,531.715,535.382,564.718,575.719,546.383,539.049,539.049
1633,AFG,Afghanistan,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",2676.91,2493.56,1426.463,1375.125,1320.12,1268.782,1199.109,1114.768,1056.096,832.409,781.071,645.392,359.366,583.053,704.064,700.397,696.73,715.065,814.074
1634,AGO,Angola,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",4429.736,4367.397,4418.735,5801.194,3890.687,11012.001,10491.287,7381.671,7308.331,9156.499,9541.534,9732.218,12665.818,9064.824,18793.375,19156.408,22266.024,25151.953,24370.882
1635,ALB,Albania,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",7488.014,3971.361,2387.217,2343.213,1928.842,2086.523,2016.85,1543.807,1752.826,2992.272,3028.942,3230.627,3751.341,4290.39,4004.364,4602.085,4231.718,4481.074,4176.713
1636,ARE,United Arab Emirates,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",52009.061,57010.849,58136.618,65980.331,73130.981,70641.088,41059.399,41646.119,81495.408,78374.791,112562.232,101333.878,84300.663,106365.002,112877.594,115627.844,122752.825,137981.876,155066.429
1637,ARG,Argentina,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",112613.57,117021.304,121447.373,118609.115,123350.546,122547.473,129217.746,134677.909,137673.848,145488.225,141076.824,140471.769,131406.945,142349.273,155000.423,158924.113,175528.289,183727.701,192378.154
1638,ARM,Armenia,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",300.694,293.36,3681.668,2929.933,2966.603,3490.984,2607.237,3278.298,3406.643,3058.278,3465.315,3542.322,3003.273,3428.645,3644.998,4349.062,4378.398,5056.793,5548.171
1640,ATG,Antigua and Barbuda,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",300.694,293.36,293.36,308.028,311.695,322.696,322.696,337.364,333.697,348.365,344.698,344.698,363.033,388.702,407.037,410.704,425.372,436.373,447.374
1641,AUS,Australia,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",287331.452,281530.258,294456.433,302116.796,303957.63,307433.946,329259.93,333623.66,346912.868,325523.257,329604.628,324859.53,341397.7,346476.495,349223.078,367393.063,377381.971,380814.283,399218.956
1642,AUT,Austria,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",60960.208,65888.656,60531.169,58213.625,57586.568,60622.844,61055.55,61359.911,63549.11,61755.947,61788.95,63637.118,65118.586,72316.907,72118.889,74385.095,72126.223,68807.588,67725.823
1643,AZE,Azerbaijan,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",304.361,344.698,44172.682,43285.268,42383.186,33586.053,31565.536,29966.724,31594.872,29299.33,30546.11,29438.676,30007.061,31162.166,32262.266,34491.802,39317.574,42236.506,47139.285
1644,BDI,Burundi,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",304.361,344.698,319.029,337.364,341.031,333.697,330.03,315.362,300.694,293.36,300.694,216.353,220.02,165.015,161.348,165.015,198.018,183.35,179.683
1645,BEL,Belgium,EN.ATM.CO2E.KT,"CO2 emissions, total (KtCO2)",108469.86,117578.688,114373.73,108924.568,113306.633,112976.603,119624.874,116295.238,119184.834,115844.197,115712.185,114766.099,107531.108,114835.772,111282.449,107116.737,106816.043,102529.32,104879.867
