,ISO_3DIGIT,Jan_precip,Feb_precip,Mar_precip,Apr_precip,May_precip,Jun_precip,July_precip,Aug_precip,Sept_precip,Oct_precip,Nov_precip,Dec_precip,Annual_precip
0,AFG,43.2756414451,49.1845775545,64.9714184453,49.406624281,24.1824884302,4.55918496175,8.03432574155,7.73640299482,3.66741960629,9.35527340916,15.4091266643,31.53937366,311.321855887
1,AGO,154.987403916,148.54421385,169.914692801,109.072266888,15.1426750524,0.372332403462,0.321137402212,3.41340503156,20.10227425,69.76669791,144.510161159,155.158423084,991.305683448
2,ALB,107.999417623,102.625833511,93.4330832167,86.1625003817,74.2739165617,54.5791675258,39.0749998883,45.6963332475,67.5684995658,105.261417389,138.264167149,138.295833588,1053.23518372
3,ARE,5.95538693,22.17799987,16.5876085035,8.96146956696,1.08057391174,1.09406129957,2.28405914391,1.40550435913,0.495943041739,0.428552171304,1.74057606609,5.60029130913,67.8120254848
4,ARG,68.3704399523,63.6540875405,69.5310366348,46.4811477875,36.2821543398,28.0800461949,25.8943846731,24.0967675648,30.0735535848,47.7154872988,55.5666644149,63.3001018924,559.045870807
5,ARM,20.8403078223,25.9263845585,40.1055384408,59.7311539269,82.8486912062,68.0471540585,43.0639229554,35.96969223,29.4295382131,42.1273846254,30.79407692,23.39792303,502.281768799
6,AUS,80.5566457521,75.8091303992,61.9796992138,31.1238465529,30.0032933992,23.8277442282,23.2956177951,20.2690760449,17.8423020035,24.3659932921,33.0990309665,50.919119906,473.091499829
7,AUT,67.7015387221,65.9135640456,75.9214874659,90.7046670177,113.363615672,137.655923892,136.999410385,131.417537494,94.9054104731,77.1508453564,92.2100773336,77.2397695682,1161.18386919
8,AZE,24.6798666644,27.4288443673,40.5227780656,48.4373556771,56.8275556573,50.862511148,25.20357111,23.086844508,34.1529777316,45.4127555844,30.5038889571,26.7642886262,433.883240763
9,BDI,154.085002135,139.050999451,170.240000915,193.731999207,94.368999481,12.223430204,3.749009954,13.85003996,56.13409996,96.152400971,171.953999329,157.27199936,1262.81199951
10,BEL,74.4502354788,59.4356471788,74.4529407735,59.4593523812,70.1819406394,78.9195291859,75.7217061671,68.0509405694,66.8638817282,77.4025295488,85.9899996588,83.3688228835,874.297532025
11,BEN,2.162378165,8.14697531079,35.9943342213,69.7568688895,118.886683414,153.806315774,180.235000409,196.309026015,180.952631298,76.1163681934,8.68507681474,3.21624681474,1034.26788973
12,BFA,0.274303952791,1.02445499977,8.23467623453,28.0589440228,64.20511615,102.321313991,172.881976638,215.388953275,141.889046203,36.4028292478,2.78670977174,0.818411626628,774.286750262
13,BGD,6.51311086565,16.422295612,45.2568262348,138.298543515,256.170869413,443.143695997,487.718476005,377.615218121,296.067607382,160.538913395,30.3979432485,8.38013046717,2266.52366837
14,BGR,43.3817656483,43.7655745972,44.5788721115,52.8744041762,66.7941914832,69.2559788474,51.1905957087,42.0538298021,36.9009150243,40.9608086119,56.0405529106,55.0462129474,602.843706497
15,BHS,45.44899877,45.4690004967,51.35999934,65.95433426,161.496663413,189.19999695,128.61000061,166.29333496,175.393335977,142.16000112,65.8143323267,42.8836669933,1280.08365885
16,BIH,80.860045,76.1230907441,77.1896360577,89.2051812941,95.5787270286,100.312181301,83.83186375,83.9854087827,84.602862965,87.7568636818,110.480818315,101.830590335,1071.75728815
17,BLR,35.2866282505,28.6910088798,33.5793804573,39.4445928727,53.0561681766,77.9020968417,82.4003628081,68.4539112666,55.3249291618,43.8999114249,47.234186055,44.7935578675,610.066737893
18,BLZ,121.097334543,67.2833334617,52.6433328,60.3331667567,134.916666667,262.839998882,298.301668802,244.689994813,287.371665953,244.186665853,171.439999898,144.160498302,2089.26430257
19,BOL,179.818505321,167.576295258,142.460430828,80.4674634402,49.7254557907,30.2732532658,20.8605646672,26.2342965766,43.927499868,78.2968874488,113.584337676,162.33480954,1095.55980128
20,BRA,226.459922173,217.79661634,236.026121797,184.871406549,130.857445587,81.932925888,65.1551211817,57.7574055549,76.9059020672,124.49001226,158.195405218,202.52270919,1762.97099306
21,BRN,347.709991455,175.36000061,195.810005185,237.305000305,286.29499817,223.150001525,216.20500183,225.94000244,264.155006405,304.760009765,334.16999817,349.914993285,3160.77514648
22,BTN,6.58304991,8.04575714143,26.9209286821,93.8427843364,162.477570126,366.27571215,446.227859496,330.025000436,238.268573216,84.8522150857,12.8419284829,4.09857852214,1780.45989118
23,BWA,89.7579904385,77.0026748065,53.3774029538,31.4719660305,4.90096795655,1.22733048252,0.326067912718,0.597831165,5.70482442767,21.707757311,45.9940777657,62.4068836379,394.47577571
24,CAF,6.80917670186,15.646841802,58.3957184856,95.9487844026,144.61581376,166.26531399,206.478726031,229.708136765,218.359705719,165.85687772,37.3976585975,9.18534757578,1354.66810009
25,CAN,28.742129914,23.1656751921,25.3092679776,24.8603986077,32.8196623828,48.5220540821,58.9059054538,56.42824257,48.6647548129,41.3584608752,36.8576327632,31.8348685695,457.469053257
26,CHE,119.890889909,109.511834886,120.319444868,140.740945603,153.686111027,169.220389048,161.645000034,176.281111823,128.827443866,111.852611542,128.515778434,125.920945061,1646.41245524
27,CHL,33.8109631823,34.0313109098,35.2826934519,47.0377047744,81.5147781202,84.4144931852,88.0007807478,73.3663492889,48.9220817837,37.8063041013,30.7466453101,36.2360534694,631.170165709
28,CHN,10.5602915635,15.322063183,25.0398143045,42.9794780034,61.956902778,88.8537216202,108.60684699,97.8437892957,61.7155777796,34.1728628324,17.9376232359,9.78496678197,574.773938266
29,CIV,10.1948009268,36.5645697495,80.8410182918,120.532825785,161.228991097,212.754311658,158.020366424,168.059201022,195.824586921,129.863422219,59.7548625313,22.4428193112,1356.08177591
30,CMR,14.9572239576,29.4591974546,90.0645180469,133.624357584,176.449973204,170.724081053,196.030843488,227.852972589,263.211747876,222.554027401,70.2456955802,17.8972819016,1613.07191498
31,COD,126.530832315,122.872859061,165.641977793,160.84500014,110.146461345,61.8391451255,63.2755930869,91.9051434107,126.658214931,170.881440001,181.150838025,153.289374586,1535.03688021
32,COG,117.476709262,127.195327481,170.428272733,175.457999906,159.774545496,69.3499325724,46.5465606978,77.3353599416,140.640139198,202.92036379,212.956636256,134.969617983,1635.05145708
33,COL,111.632012665,116.882730742,165.628192769,255.555249647,303.013715242,292.999120584,260.702736925,245.240773724,234.020559413,270.668789608,218.026844322,144.214454189,2618.58518334
34,COM,303.42999268,236.88000488,218.92999268,237.38999939,157.47999573,130.42999268,114.72000122,89.95300293,30.36700058,53.00699997,85.53700256,188.27000427,1846.39404297
35,CRI,129.367356844,78.0418366521,73.053622475,143.009071894,304.795712062,381.054999216,352.209287372,392.871427263,392.600001744,460.444996425,342.37499891,218.442805631,3268.2661656
36,CUB,36.2962306585,38.6314614621,48.5716922469,73.4520512108,176.071795146,198.703846076,144.828460694,166.007512606,190.997692402,157.269487821,67.1520766228,31.5045641387,1329.48686336
37,CYP,85.5574989325,71.53250122,51.141750335,26.4957499525,17.489249945,4.4925000075,1.3825175175,2.478349985,5.032474875,27.8200001725,48.995749475,93.8365001675,436.254837035
38,CZE,39.5785250673,36.5388998035,39.5155998225,46.296524906,73.5514248853,85.1681000705,79.2438250542,79.0007252693,52.4039501188,41.580799866,48.2343753808,45.885375214,666.998112488
39,DEU,51.2189411532,42.0152352076,49.1029521206,52.4831497275,66.2658397855,80.2364705338,73.6784652264,72.3667913225,57.5428931495,50.3363102187,59.0208662103,59.2318180717,713.499730401
40,DJI,8.40000002571,17.7989999229,18.32428578,26.2767143271,14.9647144586,2.78238567286,29.54385662,40.1580004,12.8719573029,7.42427151571,9.80571454,7.83429990429,196.185202463
41,DNK,55.8244288311,36.7025002757,44.3083212721,39.3942857471,47.1478928146,54.4165712079,64.7500709804,67.6126781193,71.5454641064,74.27100018,77.868142945,64.8085006986,698.649856567
42,DOM,78.3580000394,69.6650631413,52.9300619363,99.9339377881,192.788748742,130.620250225,122.918499947,121.11331153,151.273375511,162.539997579,135.218936443,99.7116866119,1417.07188034
43,DZA,8.99199685916,8.60353075813,9.39384089415,8.03668654929,6.55578269784,3.37373966289,2.06521253099,3.687830136,5.12823881291,7.32842438869,9.52886101785,9.27940449844,81.9735487682
44,ECU,189.370522433,208.447488874,238.695069601,240.735047052,185.072318058,156.921074158,116.119234191,102.421178197,112.685274613,138.871072521,124.554347974,131.381205883,1945.27384594
45,EGY,4.52606803519,2.77815375762,3.27023478058,2.34956884069,2.37533314928,1.83729179207,2.35517587978,2.70250124141,1.33186141439,2.6097437345,2.35459235464,4.42278405923,32.9133090481
46,ERI,8.03417497325,5.63874900675,6.14608076125,10.3168082185,13.1380767682,17.295102602,72.7990003105,76.080799723,18.7671166052,9.261622518,9.7596842195,10.4670516848,257.70426445
47,ESH,4.87006387237,3.05534118914,1.8469880872,0.988782696774,0.218530215269,0.0129387096774,0.0748745164516,0.996058056774,6.17070648387,3.05344626763,6.49700861946,8.04672796258,35.8314668387
48,ESP,64.2630514672,62.0300656263,52.145267423600004,60.2804600081,55.6322957877,40.7472614594,19.8819014289,23.5337549202,41.6663333148,62.2708873663,73.4872439209,67.0485398737,622.987063842
49,EST,37.9556922919,27.7456537388,30.0200001631,36.2966153069,43.5030385535,53.6072307008,70.8608461523,80.8964227535,73.6923467204,64.2779617304,60.9663457146,49.9651922092,629.787344127
50,ETH,10.8506365711,19.0998625645,40.8041924022,92.235958686,100.319832933,76.8598041455,134.323799725,138.353205144,97.2196634128,75.8428121669,34.1577072943,10.4471732825,830.51464606
51,FIN,32.0087489091,24.020139539,26.4752667868,28.069302714,33.7214262993,49.9210556918,66.7714862291,72.8270320056,58.1894541131,50.387442205,45.7904025069,36.5193465865,524.701103909
52,FJI,396.76998901,332.29499817,475.81498718,324.875,156.465003965,140.76499939,104.400001525,126.709999085,126.665000915,179.96000671,259.025001525,281.369995115,2905.11499023
53,FLK,67.325000765,47.0174999225,53.74399948,52.795000075,50.180000305,47.293499945,41.73250103,39.4345006925,35.5107498175,37.3892498025,40.7249994275,55.804250715,568.951248168
54,FRA,72.9547620046,66.584123036,66.7097657522,66.51750775,79.9306905988,65.9479603391,54.6687260088,63.7325476768,67.7379048818,78.2799645228,79.650333329,76.2147183643,838.929003034
55,GAB,147.522155216,155.241821289,220.868214744,208.355594817,178.723094668,42.9633570625,9.20047140607,19.9395086544,112.470071679,286.924048469,286.377976372,150.85267848,1819.43900263
56,GBR,121.12348089,83.9128874011,99.317308211,68.6669622725,73.5327894457,73.7602930566,74.3797821674,92.8523232026,106.159917215,119.122472949,119.195992864,122.275541177,1154.29974182
57,GEO,64.0236897307,56.7138279883,61.9071380362,80.7927242145,105.259896377,117.650586358,86.1468958359,81.7247931379,74.2126201772,79.2352752686,74.4577586721,77.3115167945,959.436725485
58,GHA,7.45943797351,27.4347259008,71.6847145031,104.343286192,148.261468168,183.719740236,155.070610146,143.365675443,176.601596882,114.525103779,36.5587637799,15.9194455171,1184.94458325
59,GIN,2.25061627551,9.43617346526,26.3763778792,63.7986744422,131.569885498,213.493718856,317.09987073,385.677693294,325.318975791,170.67371877,41.8727436186,5.99473625295,1693.56318234
60,GLP,194.30999756,140.41999817,145.24000549,213.41999817,259.16000366,231.19000244,253.41999817,291.88000488,310.42999268,365.57000732,365.82998657,271.6499939,3042.51977539
61,GMB,0.354433336667,0.265556673333,0.0,0.169999996667,7.29343367,85.6109975167,229.129999797,319.043324787,253.02999878,89.5400009167,5.66999992,0.370000003333,990.477742513
62,GNB,0.0,0.296003998,0.113999999,2.358702987,42.2126997,177.4,396.211001588,485.469998168,351.211001587,165.439001464,24.609899998,1.626659994,1646.94893799
63,GNQ,111.287444644,129.212887236,221.931109959,225.690000747,249.838890922,115.351554872,54.6754457678,85.0228881844,239.801111858,407.07333374,251.928890651,121.493999058,2213.30756293
64,GRC,81.4790980765,72.7455488463,63.6717844941,47.1161177763,42.9725100575,28.0784881116,21.5165275078,19.0487954273,28.0234510198,66.8405687667,91.3035881196,105.426823186,668.223298315
65,GTM,85.0046321795,55.8544432679,66.82082049,95.2076151928,215.29025562,387.592817649,379.057688786,341.905895918,404.436922513,313.123075437,160.639411144,101.397128497,2606.3307323
66,GUF,301.932594017,252.818148013,307.7066673,350.804445621,459.627407497,330.759259259,217.21518566,143.275925813,65.4878513196,61.4992593837,108.658629523,241.840370461,2841.62576859
67,GUY,176.544333718,129.468772888,148.416863586,202.002378753,341.201514735,355.046517343,291.18015035,204.00348617,109.995939081,100.872727307,120.420954733,185.532862981,2364.6864846
68,HND,92.3350640403,58.8256223131,39.3252111142,52.1669450342,151.620193906,268.511387719,253.224723393,217.195554945,260.124167549,248.863888634,177.314807573,126.250480407,1945.7580329
69,HRV,73.4846433911,67.5100353782,72.3831785754,85.3395346239,88.5360001161,97.9947487961,80.3962146211,92.6965351111,86.9533215932,86.6951075954,113.417748589,91.9406080246,1037.34768241
70,HTI,42.9967697585,51.4069466215,66.0471539877,123.630540115,210.152078482,156.221308194,116.19692289,156.668001028,185.242307223,202.133076595,116.749307193,52.7566920054,1480.20113431
71,HUN,34.47997713,31.7992501264,33.505045502,43.2712046884,59.7962045666,76.2604092682,60.1644545468,62.279659097,41.4223638014,35.482522965,50.7450909184,42.5487727257,571.754958413
72,IDN,280.084104478,246.323737057,282.730138033,271.669482144,251.156481068,192.189814631,171.612460956,168.49560338,183.821996135,213.897380831,254.954193242,284.599806381,2801.53519982
73,IND,11.2114120421,13.2189992142,18.2215180393,31.4629705551,55.5253525844,155.400527693,266.924836064,249.320930989,163.084801681,68.8583155962,26.1148269998,12.8727612415,1072.21725144
74,IRL,121.965568336,86.4352707727,90.0751083997,65.8839185565,76.8194057351,67.1130545327,66.1908914719,88.4015403959,99.7118377681,115.96956717,112.429811426,119.632621971,1110.62860932
75,IRN,35.6713658385,32.9469057516,37.2045846958,32.4092544718,19.1216335077,4.95291083291,3.65782581716,3.06210345252,2.62927563351,10.0661076144,16.1935037898,29.4427013087,227.358172341
76,IRQ,33.0367115494,29.9658861818,31.0701388539,28.7781271688,11.8864306298,0.811658092428,0.253603123179,0.310943929595,0.346357976763,8.19823993173,21.4651143866,30.2124509672,196.33566282
77,ISL,100.834124618,85.0103474192,88.2211663986,65.7100278008,58.8852361838,68.4574585486,73.8330415096,87.8843888179,94.9747637643,115.659638458,99.2354023189,101.115611394,1039.82120895
78,ISR,60.4875713071,43.4795714086,32.7004710614,12.4127571757,1.54761431857,0.00619042857143,0.0947614314286,0.24285715,0.366195721429,9.77665287429,27.5484288743,60.0263843543,248.689445496
79,ITA,77.5825953106,71.8771189735,74.6010476067,78.9988334293,74.1533415731,67.4607256382,56.3902375013,71.921124806,75.8943569245,95.0697060543,101.236372691,85.0081585475,930.193617321
80,JAM,106.49999714,107.80424881,79.4767484675,126.700000763,233.207500458,169.257499695,134.78999901,205.759998323,228.487499238,297.010002135,263.872501375,161.318244935,2114.18426514
81,JOR,20.9406344146,18.7697971754,18.951217222,8.78969704457,2.72523515543,0.0501906571429,0.222855138,0.472763713714,0.0726665702857,4.01809230114,9.590104806,17.7024372631,102.305693981
82,JPN,74.2508577779,73.7167289491,97.0273870162,124.162871133,138.980864789,206.799845985,212.035225703,187.558819531,193.236128629,126.193819649,98.0685353679,71.7260708472,1603.75715293
83,KAZ,16.9146346154,14.0704778972,17.8503718487,23.5456614335,25.3993987251,25.163847823,27.1393533462,20.3158715371,16.0125119812,23.5374294634,22.7486447102,19.5667820106,252.264985559
84,KEN,30.9410363356,26.9910748602,60.5484333344,138.852716946,89.8173792836,34.4887235853,30.8013136116,28.7896005382,26.5951484872,58.9008769632,102.176903903,49.2097379566,678.112942292
85,KGZ,25.4001739948,28.2634693702,44.4932000105,57.4368707993,59.1367296104,39.3683410865,22.3515179521,14.2982529079,10.7426411856,30.6877647062,30.5075295953,28.0349752651,390.721465526
86,KHM,10.9175102485,16.0127032339,41.8918711142,79.2974516958,198.404193509,278.306289673,291.222258291,319.241774775,316.983386624,236.098548889,100.91837077,29.3835005677,1918.67785645
87,KOR,29.272976376,37.5892381667,59.698333105,104.718999409,101.926238106,177.641428993,292.021189009,252.759523301,154.226664771,60.3500714979,51.0420956383,23.4845951619,1344.7313494
88,KSV,66.958999635,56.5255012517,67.29433441,73.6589997617,87.948833465,82.5900001533,65.8184998833,58.9978332517,64.31899961,69.7621657067,88.5571657817,80.21050008,862.641825358
89,KWT,22.8045001037,14.3530001663,14.9973748912,16.560124875,4.81332498625,0.1924999975,0.38957875375,0.4229162525,0.24833500375,1.72665873125,13.7781250487,18.300374865,108.586813929
90,LAO,19.4429142463,18.2571453345,38.6574801884,97.1512667339,189.651333821,271.015866902,281.590931804,340.923065593,247.462799886,151.876759542,74.5423200737,27.7755292515,1758.34740397
91,LBN,162.237495425,123.147500993,91.2740001675,50.4782505025,14.3434245575,2.284992455,0.0,0.1150000025,2.293324975,40.76249981,85.00099945,149.174999238,721.112487793
92,LBR,23.7583225932,69.8592256116,99.4481292235,152.99580654,252.79999813,359.977740873,320.883872739,341.743870396,399.097418016,261.438709382,125.087547795,52.9896125181,2460.08025139
93,LBY,8.72133824814,4.97643994188,5.49016549416,2.83849787403,1.59662803398,0.46816140555,0.435708037022,1.12311913298,1.70835164306,5.35805954504,5.18980751535,8.07099734049,45.9772740284
94,LKA,101.775272889,65.4835451295,80.9635011486,152.653409611,130.047727758,77.4832731268,74.95290947,91.6230454877,129.329590191,250.846362721,292.246815768,252.001817876,1699.40728205
95,LSO,122.339998883,110.230832418,103.33466657,59.3185838075,23.852666615,15.2316666442,12.8843333733,23.2699999817,35.2050830525,75.3892488492,95.2467511483,99.3633321133,775.667170207
96,LTU,38.8941797592,28.1443589046,36.0231537938,40.5355640313,51.0000510582,67.795410939,77.1574622908,75.5467435397,67.0946929141,56.5128201218,61.2041024428,51.8131028203,651.721643692
97,LUX,74.29299927,60.61999893,71.18299866,57.73300171,72.19999695,76.33699799,69.44300079,70.43000031,59.84000015,69.79699707,82.26699829,84.66300201,848.8059082
98,LVA,38.0864570617,27.5873714991,33.5990570069,38.1148569386,47.0744858886,59.8913710454,75.6287423274,76.4201433454,70.8669719157,59.0132853914,61.2137139457,51.3738572249,638.870309012
99,MAR,39.4175640982,46.0125473556,37.2461108303,38.8225851702,23.7302321392,8.18128313417,2.55463774705,3.79200832641,11.9307271553,24.6411987115,44.0273141431,41.9103334257,322.266544538
